mobility	selfcare	activity	pain	anxiety	EQ5Dindex
2	3	3	5	5	0.060
2	3	4	1	1	0.453
2	3	4	1	2	0.428
2	3	4	1	3	0.421
2	3	4	1	4	0.337
2	3	4	1	5	0.250
2	3	4	2	1	0.396
2	3	4	2	2	0.370
2	3	4	2	3	0.364
2	3	4	2	4	0.280
2	3	4	2	5	0.192
2	3	4	3	1	0.381
2	3	4	3	2	0.356
2	3	4	3	3	0.349
2	3	4	3	4	0.265
2	3	4	3	5	0.178
2	3	4	4	1	0.289
2	3	4	4	2	0.264
2	3	4	4	3	0.257
2	3	4	4	4	0.192
2	3	4	4	5	0.123
2	3	4	5	1	0.151
2	3	4	5	2	0.126
2	3	4	5	3	0.119
2	3	4	5	4	0.081
2	3	4	5	5	0.041
2	3	5	1	1	0.320
2	3	5	1	2	0.295
2	3	5	1	3	0.288
2	3	5	1	4	0.250
2	3	5	1	5	0.210
2	3	5	2	1	0.263
2	3	5	2	2	0.237
2	3	5	2	3	0.231
